Method,k,Execution Time (s),Silhouette Score
NBC,2,0.0040,0.1922
NBC,3,0.0082,0.2773
NBC,4,0.0080,0.2674
NBC,5,0.0120,0.2662
NBC,6,0.0120,0.3878
NBC,7,0.0080,0.3091
NBC,8,0.0120,0.3792
NBC,9,0.0040,0.3948
NBC,10,0.0080,0.2433
NBC,11,0.0120,0.2467
NBC,12,0.0120,0.3588
NBC,13,0.0080,0.2836
NBC,14,0.0040,0.2610
NBC,15,0.0040,0.2832
NBC,16,0.0080,0.4329
NBC,17,0.0120,0.3608
NBC,18,0.0080,0.3155
NBC,19,0.0080,0.3627
K-Means,2,0.0280,0.4951
K-Means,3,0.0320,0.5532
K-Means,4,0.0400,0.5548
K-Means,5,0.0440,0.5630
K-Means,6,0.0520,0.5573
K-Means,7,0.0640,0.5594
K-Means,8,0.0520,0.5181
K-Means,9,0.0480,0.5244
K-Means,10,0.0560,0.5316
K-Means,11,0.0640,0.4969
K-Means,12,0.0520,0.4920
K-Means,13,0.0600,0.4945
K-Means,14,0.0600,0.4989
K-Means,15,0.0640,0.4763
K-Means,16,0.0600,0.4816
K-Means,17,0.0800,0.4843
K-Means,18,0.0720,0.4753
K-Means,19,0.0800,0.4570
